event_date,phone_is_null,is_military,is_phone_lokal,is_phone_ru,category,is_transit,is_single_signal,echelon,devices
2025-07-10,False,False,True,False,constant,True,False,2,4060
2025-08-29,True,False,False,True,disapeared,False,False,0,873
2025-07-22,False,False,True,False,arrived,False,False,0,9
2025-07-16,True,False,False,True,constant,True,False,0,18
2025-08-25,False,False,True,False,new,True,False,0,393
2025-09-01,False,False,True,False,new,True,False,1,432
2025-08-26,False,False,False,True,arrived,False,False,0,38
2025-08-31,False,False,False,True,constant,False,False,2,5603
2025-08-31,False,False,False,True,disapeared,False,True,0,270
2025-08-30,False,False,True,False,disapeared,False,True,0,16
2025-08-23,False,False,False,False,constant,True,False,0,8
2025-09-02,False,False,False,True,arrived,True,False,2,578
2025-09-23,False,False,False,True,new,False,False,2,2535
2025-07-05,False,False,False,True,disapeared,False,True,0,307
2025-07-06,False,False,True,False,arrived,True,False,3,281
2025-08-24,False,False,True,False,new,False,False,0,411
2025-09-03,True,False,False,True,disapeared,False,False,0,1295
2025-09-03,False,False,True,False,disapeared,True,False,2,420
2025-09-13,False,False,True,False,disapeared,False,True,2,310
2025-09-15,False,False,False,True,disapeared,False,False,3,582
2025-09-15,False,False,True,False,new,False,False,0,130
2025-09-15,False,False,False,True,arrived,False,False,0,29
2025-09-11,False,False,False,True,constant,False,False,2,5950
2025-09-11,False,False,False,True,disapeared,True,False,2,1934
2025-09-12,False,False,True,False,new,True,False,3,18
2025-09-04,True,False,False,True,constant,True,False,0,41
2025-09-11,False,False,False,True,departed,True,False,0,137
2025-09-19,False,False,True,False,new,False,True,1,80
2025-09-20,False,False,False,True,arrived,False,False,0,11
2025-08-14,False,False,True,False,disapeared,True,False,2,162
2025-08-12,False,False,True,False,disapeared,False,False,2,743
2025-08-17,False,False,False,True,new,True,False,2,663
2025-08-10,False,False,False,True,constant,False,False,2,547
2025-08-13,False,False,False,True,disapeared,True,False,0,36
2025-07-23,False,True,False,True,new,False,False,2,144
2025-07-14,False,True,False,True,new,False,False,3,29
2025-07-31,False,True,False,True,new,False,False,0,133
2025-08-19,False,True,False,True,departed,True,False,0,13
2025-07-31,False,True,False,True,departed,False,False,0,7
2025-07-11,False,True,False,True,new,False,False,3,31
2025-08-19,False,True,False,True,arrived,False,False,0,8
2025-08-02,False,True,False,True,new,False,True,0,37
2025-08-22,False,True,False,True,constant,True,False,2,34
2025-08-21,False,True,False,True,arrived,True,False,0,12
2025-08-28,False,True,False,True,new,False,False,3,30
2025-08-31,False,True,False,True,disapeared,False,False,3,25
2025-09-04,False,True,False,True,disapeared,False,False,2,148
2025-08-31,False,True,False,True,disapeared,True,False,1,19
2025-09-01,False,True,False,True,disapeared,False,True,2,30
2025-08-18,False,True,False,True,disapeared,False,True,0,24
2025-09-03,False,True,False,True,constant,False,False,0,477
2025-07-04,False,True,False,True,disapeared,True,False,0,8
2025-08-24,False,True,False,True,new,True,False,1,20
2025-09-11,False,True,False,True,disapeared,False,True,0,41
2025-09-17,False,True,False,True,new,False,False,1,83
2025-07-03,False,True,False,True,arrived,False,False,0,5
2025-09-18,False,True,False,True,disapeared,False,True,3,11
2025-09-21,False,True,False,True,new,False,False,3,33
2025-08-15,False,True,True,False,disapeared,False,False,2,8
2025-07-18,False,False,True,False,constant,True,False,2,4144
2025-07-21,False,False,False,True,constant,False,False,0,3832
2025-08-05,False,False,True,False,constant,False,False,2,7781
2025-07-22,False,False,True,False,disapeared,True,False,0,381
2025-07-13,False,False,True,False,departed,True,False,2,4100
2025-07-24,False,False,True,False,new,True,False,1,1962
2025-07-19,False,False,True,False,disapeared,False,False,2,944
2025-07-13,False,False,True,False,new,False,False,2,815
2025-08-02,False,False,False,True,disapeared,False,True,3,231
2025-07-24,False,False,False,True,constant,False,False,3,1731
2025-07-24,False,False,True,False,disapeared,False,False,1,350
2025-07-25,False,False,False,True,new,False,True,2,285
2025-08-02,False,False,False,True,departed,True,False,2,564
2025-08-07,True,False,False,True,departed,True,False,0,12
2025-07-21,False,False,False,True,arrived,True,False,1,144
2025-07-28,False,False,False,True,departed,True,False,3,166
2025-07-20,True,False,False,True,arrived,False,False,0,45
2025-08-06,False,False,True,False,arrived,True,False,1,1096
2025-08-28,False,False,False,True,constant,False,False,0,3439
2025-08-21,False,False,True,False,arrived,True,False,2,2977
2025-08-28,False,False,False,True,new,False,True,1,188
2025-08-21,False,False,True,False,departed,False,False,3,31
2025-07-07,False,False,True,False,departed,False,False,0,65
